Title,Price,Subscribers,Reviews,Length,PercentReviewers
Learn Web Designing & HTML5/CSS3 Essentials in 4-Hours,75,43285,525,4.0,1.21
Learning Dynamic Website Design - PHP MySQL and JavaScript,50,47886,285,12.5,0.6
ChatBots: Messenger ChatBot with API.AI and Node.JS,50,2577,529,4.5,20.53
Projects in HTML5,60,8777,206,15.5,2.35
Programming Foundations: HTML5 + CSS3 for Entrepreneurs 2015,20,23764,490,5.5,2.06
How To Make A Wordpress Website 2017 | Divi Theme Tutorial,40,3541,202,4.0,5.7
Build Your Own Backend REST API using Django REST Framework,50,2669,112,5.5,4.2
Angular and Firebase - Build a Web App with Typescript,150,1966,359,5.0,18.26
Web Development Masterclass - Complete Certificate Course,200,4090,178,19.5,4.35
Spring Boot Tutorial For Beginners,40,2578,210,5.5,8.15
The Complete Bootstrap Masterclass Course - Build 4 Projects,195,24978,540,7.0,2.16
Scaling Docker on AWS,25,3133,351,6.0,11.2
Learn JavaScript for beginners,200,15276,167,1.5,1.09
HTML Tutorial: HTML & CSS for Beginners,20,12458,253,4.0,2.03
Learn by Doing: Vue JS 2.0 the Right Way,95,1087,220,3.5,20.24
Learn Complete Web Development From Scratch,40,14074,106,12.0,0.75
Introduction to Web Development: HTML,20,26800,333,3.0,1.24
Web Site for Beginners - Learn Web Building like knitting,20,9425,147,1.5,1.56
How To Make A Wordpress Website 2017 - Divi Theme Tutorial,40,2780,94,3.0,3.38
Web Programming with Python,50,35267,217,4.0,0.62
PHP Login and Registration System - Email Confirm Activation,100,2607,317,5.0,12.16
PSD to Responsive HTML5: Beginner to Advanced,40,1502,218,6.0,14.51
Ultimate Web Developer Course Build 10 Websites from Scratch,200,9359,110,32.5,1.18
Rapid Website Design with Bootstrap,200,14842,131,1.0,0.88
Build Enterprise Applications with Angular 2 (and Angular 4),190,6082,848,9.5,13.94
Angular 4 (2+) Crash Course for Beginners,120,12366,506,9.0,4.09
Accelerated JavaScript Training,110,4720,1017,7.5,21.55
"Beginner API development in Node, Express, ES6, & MongoDB",165,7057,655,18.5,9.28
React JS and Redux - Mastering Web Apps,60,16829,820,5.0,4.87
Web Development w/ Google’s Go (golang) Programming Language,65,4872,662,19.0,13.59
Git a Web Developer Job: Mastering the Modern Workflow,200,5809,1445,15.0,24.88
The Complete WordPress Website Business Course,150,13439,1981,20.5,14.74
The Complete HTML and CSS Course For Beginners,85,733,104,3.0,14.19
Learn  Bootstrap Development By Building 10 Projects,60,14813,1358,13.5,9.17
Advanced Javascript,200,6601,1304,3.5,19.75
Dissecting Ruby on Rails 5 - Become a Professional Developer,195,2804,418,37.5,14.91
The Complete Wordpress Course - Build Your Own Website Today,195,9421,73,3.5,0.77
JQuery Essentials core training for Dynamic Interactive web,100,9668,38,4.0,0.39
Node.js: The Essentials + API Frameworks Express KOA Sails,20,2760,52,1.0,1.88
The Complete PHP Bootcamp Course With Video Sharing Project,195,9831,56,14.5,0.57
Build a Single Page Application with jQuery & AJAX,60,486,59,2.0,12.14
Practical CSS Website Development: Crash Course ,95,11170,35,2.5,0.31
Successful website creation - everything you need to know,150,9384,21,1.5,0.22
Start Writing JavaScript Today - Beginner JavaScript Course,100,9067,41,3.0,0.45
HTML5 Essentials for Beginners,20,10247,200,1.5,1.95
Code a personal splash page in 1 hour,20,10610,83,1.0,0.78
Step-by-step HTML and CSS for Absolute Beginners,120,6162,324,4.0,5.26
Angular 4 Development Decoded,20,1802,13,1.0,0.72
Javascript ES6! A Complete Reference Guide to Javascript ES6,175,4783,41,7.0,0.86
Reactive JS:  Are you ready for the next big paradigm shift?,60,2097,401,5.5,19.12
Learn Python and Django: Payment Processing,70,17714,198,3.5,1.12
Code your first Website using HTML & CSS: Project Learning,20,9554,368,1.5,3.85
"React.js: Building Production Ready Apps, Start to Finish",50,1129,137,17.5,12.13
Learn Object Oriented Programming PHP fundamentals bootcamp,100,22213,142,1.0,0.64
Javascript Intermediate level 2 - Mastering Functions,100,2412,116,2.5,4.81
1 Hour CSS,100,18324,333,1.0,1.82
"Become a Full Stack Developer with Spring, AWS and Stripe",75,1696,193,10.0,11.38
Complete JQuery And JQuery UI Course For Beginner,80,7169,277,1.0,3.86
Learn JavaScript for Web Development,75,12893,220,8.5,1.71
"Complete AJAX Using Bootstrap, PHP From Basic To Advanced.",195,4708,111,2.5,2.36
Complete Wordpress Theme Development Course,150,1050,223,6.5,21.24
How to Optimise Your WordPress Website's Speed & Security to Improve SEO & User Experience,125,7852,46,3.5,0.59
Build A Web App With Spring Framework and Angular 2,145,1683,340,8.0,20.2
Projects in Laravel: Learn Laravel Building 10 Projects,50,119,6,10.5,5.04
Javascript Intermediate level 3 - JSON,100,1735,76,2.5,4.38
Develop Your First App in an Hour,20,3699,201,1.0,5.43
PHP: Ultimate guide to PHP for everyone,115,10103,75,1.5,0.74
JavaScript DOM Dynamic Web interactive content Boot Camp,75,7380,43,2.5,0.58
"Master JavaScript Programming, 3 Projects Included !!",20,3903,53,10.5,1.36
HTML CSS Learn to create a website from scratch,50,4892,49,2.0,1.0
Complete Codeigniter: From Beginner to Advanced,200,2786,31,3.0,1.11
HTML 5: How I made websites in HTML5,135,15064,237,1.5,1.57
"Build Responsive Website Using HTML5, CSS3, JS And Bootstrap",95,22623,783,8.0,3.46
Complete React JS web developer with ES6 - Build 10 projects,200,952,121,12.0,12.71
Complete WordPress Theme Developer Course With Bootstrap,150,3415,312,25.0,9.14
The Complete Ethical Hacking Course 2.0: Python & Kali Linux,195,7827,268,11.0,3.42
Dynamic JavaScript Master Class AJAX JSON Simple APIs,200,9773,117,4.5,1.2
Vue JS - Mastering Web Apps,80,13457,215,4.5,1.6
Angular NgRx Store Masterclass - Covers Angular 4,150,1399,212,8.5,15.15
JavaScript the Basics - JavaScript for Beginners,120,4028,674,9.0,16.73
"Complete E-Commerce Course - Java,Spring,Hibernate and MySQL",195,1371,165,20.0,12.04
"Learn SVG Animation - With HTML, CSS & Javascript",65,12953,680,1.5,5.25
"Build a Responsive Website with HTML5, CSS3 and Bootstrap 4",20,5125,395,7.0,7.71
Learn Web Designing & HTML5/CSS3 Essentials in 4-Hours,75,43285,525,4.0,1.21
CSS Development (with CSS3!),20,25864,188,5.0,0.73
Angular 2 & TypeScript Beginner Web Development,200,5211,414,19.5,7.94
The Docker for DevOps course: From development to production,25,8234,1111,7.5,13.49
"Beginner Full Stack Web Development: HTML, CSS, React & Node",200,2687,331,25.5,12.32
Learn Angular 2 Development By Building 12 Apps,50,5143,941,12.0,18.3
"Server API Development in Swift, Kitura, & Bluemix",200,1827,129,20.5,7.06
React VR - Creating Virtual Reality Apps,80,5026,72,3.0,1.43
RxJs & Reactive Programming Angular Masterclass - Angular 4,150,1301,179,7.5,13.76
"Coding for Entrepreneurs: Learn Python, Django, and More.",195,23412,799,45.0,3.41
React and Flux Web Development for Beginners,100,8691,836,11.0,9.62
The Full Stack Web Development,60,3119,453,33.0,14.52
Learn Nodejs by building 12 projects,50,10150,997,16.0,9.82
How to Make an Online Portfolio Website from Scratch ,Free,14026,232,1.0,1.65
How To Make A Web Page With No Code,Free,2214,20,2.0,0.9
Spring Framework 4 And Dependency Injection For Beginners,Free,21147,1220,1.5,5.77
Joomla 3 - The Basics,Free,19909,411,3.0,2.06
jQuery in Action: Build 8 jQuery Projects,100,1385,89,11.0,6.43
Master WordPress Plugins: Shortcodes Ultimate - The Basics,Free,10780,110,1.0,1.02
ASP.NET C# - Enterprise Web Systems From Novice to Expert,20,604,8,3.5,1.32
Wordpress - Create an Outstanding Website in 2 hours,30,1772,13,2.5,0.73
Complete Website & CMS in PHP & MySQL From Scratch!,20,3357,82,12.5,2.44
The Complete Web Development Tutorial Using React and Redux,40,796,43,4.0,5.4
Create and Deploy a Web App in 3 Hours,50,4123,23,3.5,0.56
HTML & CSS From Scratch in 30 Days,75,2697,64,11.5,2.37
Getting Started with Craft CMS,20,997,31,2.0,3.11
JavaScript For Absolute Beginners - Level One,65,713,80,1.5,11.22
Effective Personal Website Building and Hosting,20,4259,0,1.0,0.0
Web Design for Web Developers: Build Beautiful Websites!,Free,98867,6512,3.0,6.59
"Learn Rails: Quickly Code, Style and Launch 4 Web Apps",200,1849,21,3.0,1.14
Getting Started with NodeJS for Beginners,195,1645,75,1.0,4.56
Quickstart AngularJS,Free,64128,4047,1.5,6.31
Byte-Sized-Chunks: Cascading Style Sheets (CSS) with HTML,20,2160,16,4.0,0.74
Learn Building Your Own Website Without Coding,50,7660,7,2.0,0.09
Practical Guide to Web Development,20,2025,16,2.0,0.79
The Complete HTML5 and CSS3 Course,40,1548,30,15.0,1.94
HTML & CSS for beginners: Build 3 projects from scratch,40,2472,139,4.0,5.62
Code a 'Coming Soon' Landing Page in Bootstrap 4,Free,13535,473,1.5,3.49
Introduction to Bootstrap 3,20,5795,79,2.5,1.36
Master ExpressJS to Build Web Apps with NodeJS&JavaScript,50,2643,56,3.5,2.12
Learn XML Crash Course: Discover Essential XML Fundamentals ,50,3704,111,2.0,3.0
HTML5 CSS3 JQUERY Single Page Website Project from Scratch,120,1678,34,2.5,2.03
Scrape Websites using PhantomJS and CasperJS,195,960,110,2.0,11.46
Amazon s3 Mastery - THE How-To' Guides For Amazon S3,95,1811,118,3.5,6.52
HTML and CSS Crash Course for Beginners,50,4123,46,4.5,1.12
EMMET Faster HTML & CSS workflow - Best Tool For Developers ,Free,26697,1097,1.0,4.11
Introduction to Web Development,50,5921,35,4.5,0.59
AngularJS For ASP.NET MVC Developers,50,3011,57,1.0,1.89
Serverless Workflow Management with AWS Step Functions,Free,8768,173,1.0,1.97
How to set up a Web Server From Scratch to One Fully Managed,200,1673,31,3.0,1.85
The Complete PHP MySQL Professional Course with 5 Projects,200,16158,159,19.5,0.98
Angular Masterclass,150,4057,359,6.5,8.85
Become a Professional Web Developer | Version 3.0,200,6851,276,60.0,4.03
Build Incredible Chatbots,100,2234,253,11.5,11.32
Try Django 1.10 | Create a URL Shortening Service,50,9607,78,5.5,0.81
Projects in CSS,60,4689,216,10.0,4.61
Ruby on Rails: Training and Skills to Build Web Applications,95,9375,219,7.0,2.34
Learn and Understand React,30,4848,105,16.5,2.17
Learn Javascript & JQuery From Scratch,30,84897,2685,2.0,3.16
Learn to use JSON,150,12838,96,1.5,0.75
The Ultimate Web Developer How To Guide,200,24861,423,22.5,1.7
"Build A Complete CRUD Application With PHP, MYSQL & JQUERY",20,9762,94,13.5,0.96
jQuery Crash Course: Learn the Essentials of jQuery Fast,50,11262,142,2.0,1.26
Drupal Tutorial : Drupal 8 Beginner to Expert in 8 PROJECTS,200,1270,16,7.0,1.26
The Complete PHP CodeIgniter Course: Beginner To Advanced,195,17895,212,4.0,1.18
JavaScript For Beginners : Learn JavaScript From Scratch,195,11285,102,5.5,0.9
"Mastering 'Native CSS Shapes To Build Modern Web Pages""",195,1040,5,3.5,0.48
WordPress Development For Beginners,95,23572,210,2.0,0.89
WordPress local server setup and site migration online,55,3801,43,1.0,1.13
PHP Fundamentals - Start Earning The Top Dollars You Deserve,195,12068,81,1.5,0.67
Interactive Dynamic JavaScript for beginners DOM,200,5559,35,2.0,0.63
