Title,Price,Subscribers,Reviews,Length,PercentReviewers
"Earn Big Profits With Web Development, Simple and Easy!",90,3073,27,1.5,0.88
BDD with Ruby on Rails using RSpec 3 and Capybara,175,2706,179,13.0,6.61
Learn By Example: jQuery,50,1702,49,7.0,2.88
Professional Python Web Development Using Flask,120,3420,489,14.5,14.3
JavaScript HTML CSS Project make a Quiz Tutorial,95,7130,39,2.0,0.55
Voiceover Audio Secrets - Your Way to Top Audio Quality,195,918,8,2.5,0.87
jQuery UI In Depth,25,1520,21,10.5,1.38
Codeless Website Development with Adobe Muse,50,461,67,3.5,14.53
Learn To Build A Google Map App Using Angular 2,30,116,12,1.0,10.34
Learn Reactivex From Ground Up,40,207,32,5.0,15.46
Learn HTML in 59 Minutes - Your intro to front-end dev,35,333,15,1.0,4.5
WordPress Theme Customization 101 (for beginners),40,305,40,2.0,13.11
Supercharging Development With Atom Text Editor,20,644,42,1.5,6.52
Master WCF 4.0 From Scratch Using C#,50,415,67,7.0,16.14
Drupal 7 for Beginners,35,926,102,2.5,11.02
Critical Web Dev Skills & Tools for the Non-Tech Hustler,Free,3118,8,1.5,0.26
Install WordPress on Computer using XAMPP,Free,4290,150,37.0,3.5
Java Web Services Part 2,20,959,51,3.0,5.32
Complete PHP Course With Bootstrap3 CMS System & Admin Panel,195,55332,1225,20.0,2.21
Learn To Create WordPress Themes By Building 10 Projects,60,2273,384,16.5,16.89
The Complete NodeJS Course: Build a Full Business Rating App,195,17784,260,12.5,1.46
Master the MEAN Stack - Learn By Example,195,25799,382,4.5,1.48
First Web Application with Spring Boot,40,2865,95,4.0,3.32
HTML5 and CSS3: Learn Web Design with HTML + CSS + Bootstrap,200,346,28,8.5,8.09
Backbone Tutorial: Learn Backbonejs from Scratch,90,4957,634,5.5,12.79
AngularJS Custom Directives with Dan Wahlin,75,4128,434,6.0,10.51
Angular 2+ with Typescript - Essential Training,195,29348,780,3.0,2.66
Learn Angular 2 from Beginner to Advanced,195,32696,526,10.0,1.61
Create an eCommerce Wordpress Website 2016 - New Divi Theme!,30,3503,123,4.0,3.51
HTML5 and CSS3 : Landing Pages for Entrepreneurs 2016,195,2354,16,4.0,0.68
Learning Docker and Kubernetes by Lab,30,586,54,5.0,9.22
Projects in ExpressJS - Learn ExpressJs building 10 projects,50,1949,149,15.5,7.64
